Z,Atom,A,B,Value,Uncertainty,Method,Year,Citation,Links,Notes
40,Ca+,5P3/2,,35.349,,Theory,1989,"C. E. Theodosiou, Phys. Rev. A 39 (1989) 4880.",https://doi.org/10.1103/PhysRevA.39.4880,
40,Ca+,5S1/2,,4.153,,Theory,1989,"C. E. Theodosiou, Phys. Rev. A 39 (1989) 4880.",https://doi.org/10.1103/PhysRevA.39.4880,
40,Ca+,6P1/2,,100.254,,Theory,1989,"C. E. Theodosiou, Phys. Rev. A 39 (1989) 4880.",https://doi.org/10.1103/PhysRevA.39.4880,
40,Ca+,6P3/2,,99.675,,Theory,1989,"C. E. Theodosiou, Phys. Rev. A 39 (1989) 4880.",https://doi.org/10.1103/PhysRevA.39.4880,
40,Ca+,6S1/2,,6.766,,Theory,1989,"C. E. Theodosiou, Phys. Rev. A 39 (1989) 4880.",https://doi.org/10.1103/PhysRevA.39.4880,
40,Ca+,7S1/2,,11.262,,Theory,1989,"C. E. Theodosiou, Phys. Rev. A 39 (1989) 4880.",https://doi.org/10.1103/PhysRevA.39.4880,
56,Ba+,5D5/2,,34500000000,3500000000,Theory,1990,"A. A. Madej, J. D. Sankey, Phys. Rev. A 41 (1990) 2621.",https://doi.org/10.1103/PhysRevA.41.2621,
56,Ba+,5D3/2,,83700000000,,Theory,1991,"C. Guet, W. R. Johnson, Phys. Rev. A 44 (1991) 1531.",https://doi.org/10.1103/PhysRevA.44.1531,
56,Ba+,5D5/2,,37200000000,,Theory,1991,"C. Guet, W. R. Johnson, Phys. Rev. A 44 (1991) 1531.",https://doi.org/10.1103/PhysRevA.44.1531,
56,Ba+,6P1/2,,7.99,,Theory,1991,"C. Guet, W. R. Johnson, Phys. Rev. A 44 (1991) 1531.",https://doi.org/10.1103/PhysRevA.44.1531,
56,Ba+,6P3/2,,6.39,,Theory,1991,"C. Guet, W. R. Johnson, Phys. Rev. A 44 (1991) 1531.",https://doi.org/10.1103/PhysRevA.44.1531,
40,Ca+,3D3/2,,1271000000,,Theory,1991,"C. Guet, W. R. Johnson, Phys. Rev. A 44 (1991) 1531.",https://doi.org/10.1103/PhysRevA.44.1531,
40,Ca+,3D5/2,,1236000000,,Theory,1991,"C. Guet, W. R. Johnson, Phys. Rev. A 44 (1991) 1531.",https://doi.org/10.1103/PhysRevA.44.1531,
40,Ca+,4P1/2,,6.94,,Theory,1991,"C. Guet, W. R. Johnson, Phys. Rev. A 44 (1991) 1531.",https://doi.org/10.1103/PhysRevA.44.1531,
40,Ca+,4P3/2,,6.75,,Theory,1991,"C. Guet, W. R. Johnson, Phys. Rev. A 44 (1991) 1531.",https://doi.org/10.1103/PhysRevA.44.1531,
38,Sr+,4D3/2,,454000000,,Theory,1991,"C. Guet, W. R. Johnson, Phys. Rev. A 44 (1991) 1531.",https://doi.org/10.1103/PhysRevA.44.1531,
38,Sr+,4D5/2,,405000000,,Theory,1991,"C. Guet, W. R. Johnson, Phys. Rev. A 44 (1991) 1531.",https://doi.org/10.1103/PhysRevA.44.1531,
38,Sr+,5P1/2,,7.48,,Theory,1991,"C. Guet, W. R. Johnson, Phys. Rev. A 44 (1991) 1531.",https://doi.org/10.1103/PhysRevA.44.1531,
38,Sr+,5P3/2,,6.74,,Theory,1991,"C. Guet, W. R. Johnson, Phys. Rev. A 44 (1991) 1531.",https://doi.org/10.1103/PhysRevA.44.1531,
40,Ca+,3D3/2,,1200000000,,Theory,1993,"M. Poirier, Z. Phys. D 25 (1993) 117.",https://link.springer.com/article/10.1007/BF01450163,
40,Ca+,3D5/2,,1170000000,,Theory,1993,"M. Poirier, Z. Phys. D 25 (1993) 117.",https://link.springer.com/article/10.1007/BF01450163,
40,Ca+,4P1/2,,6.87,,Theory,1993,"M. Poirier, Z. Phys. D 25 (1993) 117.",https://link.springer.com/article/10.1007/BF01450163,
40,Ca+,4P3/2,,6.681,,Theory,1993,"M. Poirier, Z. Phys. D 25 (1993) 117.",https://link.springer.com/article/10.1007/BF01450163,
38,Sr+,4D3/2,,441000000,,Theory,1993,"M. Poirier, Z. Phys. D 25 (1993) 117.",https://link.springer.com/article/10.1007/BF01450163,
38,Sr+,4D5/2,,396000000,,Theory,1993,"M. Poirier, Z. Phys. D 25 (1993) 117.",https://link.springer.com/article/10.1007/BF01450163,
38,Sr+,5P1/2,,7.43,,Theory,1993,"M. Poirier, Z. Phys. D 25 (1993) 117.",https://link.springer.com/article/10.1007/BF01450163,
38,Sr+,5P3/2,,6.697,,Theory,1993,"M. Poirier, Z. Phys. D 25 (1993) 117.",https://link.springer.com/article/10.1007/BF01450163,
40,Ca+,3D3/2,,1200000000,,Theory,1993,"T. Brage, F. C. Froese, N. Vaeck, M. Godefroid, A. Hibbert, Phys. Scr. 48 (1993) 533.",https://iopscience.iop.org/article/10.1088/0031-8949/48/5/006,
40,Ca+,3D5/2,,1163000000,,Theory,1993,"T. Brage, F. C. Froese, N. Vaeck, M. Godefroid, A. Hibbert, Phys. Scr. 48 (1993) 533.",https://iopscience.iop.org/article/10.1088/0031-8949/48/5/006,
40,Ca+,4P3/2,,6.833,,Theory,1995,"S. S. Liaw, Phys. Rev. A 51 (1995) R1723.",https://doi.org/10.1103/PhysRevA.51.R1723,
56,Ba+,5D3/2,,79800000000,4600000000,Theory,1997,"N. Yu, W. Nagourney, H. Dehmelt, Phys. Rev. Lett. 78 (1997) 4898.",https://doi.org/10.1103/PhysRevLett.78.4898,
56,Ba+,5D3/2,,81400000000,,Theory,2002,"G. Gopakumar, H. Merlitz, R. K. Chaudhuri, B. P. Das, U. S. Mahapatra, D. Mukherjee, Phys. Rev. A 66 (2002) 032505.",https://doi.org/10.1103/PhysRevA.66.032505,
56,Ba+,5D5/2,,36500000000,,Theory,2002,"G. Gopakumar, H. Merlitz, R. K. Chaudhuri, B. P. Das, U. S. Mahapatra, D. Mukherjee, Phys. Rev. A 66 (2002) 032505.",https://doi.org/10.1103/PhysRevA.66.032505,
56,Ba+,6P1/2,,7.92,,Theory,2002,"G. Gopakumar, H. Merlitz, R. K. Chaudhuri, B. P. Das, U. S. Mahapatra, D. Mukherjee, Phys. Rev. A 66 (2002) 032505.",https://doi.org/10.1103/PhysRevA.66.032505,
56,Ba+,6P3/2,,6.31,,Theory,2002,"G. Gopakumar, H. Merlitz, R. K. Chaudhuri, B. P. Das, U. S. Mahapatra, D. Mukherjee, Phys. Rev. A 66 (2002) 032505.",https://doi.org/10.1103/PhysRevA.66.032505,
12,Mg+,3P1/2,,3.881,,Theory,2002,"S. Majumder, H. Merlitz, G. Gopakumar, B. P. Das, U. S. Mahapatra, D. Mukherjee, Astrophys. J. 574 (2002) 513.",https://iopscience.iop.org/article/10.1086/340939,
12,Mg+,3P3/2,,3.85,,Theory,2002,"S. Majumder, H. Merlitz, G. Gopakumar, B. P. Das, U. S. Mahapatra, D. Mukherjee, Astrophys. J. 574 (2002) 513.",https://iopscience.iop.org/article/10.1086/340939,
40,Ca+,3D3/2,,1196000000,11000000,CCSDpT,2005,"A. Kreuter, C. Becher, G. P. T. Lancaster, A. B. Mundt, C. Russo, H. Haffner, C. Roos, W. Hansel, F. Schmidt-Kaler, R. Blatt, M. S. Safronova, Phys. Rev. A 71 (2005) 032504.",https://doi.org/10.1103/PhysRevA.71.032504,
40,Ca+,3D5/2,,1165000000,11000000,CCSDpT,2005,"A. Kreuter, C. Becher, G. P. T. Lancaster, A. B. Mundt, C. Russo, H. Haffner, C. Roos, W. Hansel, F. Schmidt-Kaler, R. Blatt, M. S. Safronova, Phys. Rev. A 71 (2005) 032504.",https://doi.org/10.1103/PhysRevA.71.032504,
56,Ba+,5D3/2,,80086000000,714000000,CCSD(T),2006,"B. K. Sahoo, Md. R. Islam, B. P. Das, R. K. Chaudhuri, D. Mukherjee, Phys. Rev. A 74 (2006) 062504.",https://doi.org/10.1103/PhysRevA.74.062504,
56,Ba+,5D5/2,,29856000000,296000000,CCSD(T),2006,"B. K. Sahoo, Md. R. Islam, B. P. Das, R. K. Chaudhuri, D. Mukherjee, Phys. Rev. A 74 (2006) 062504.",https://doi.org/10.1103/PhysRevA.74.062504,
40,Ca+,3D3/2,,1185000000,7000000,CCSD(T),2006,"B. K. Sahoo, Md. R. Islam, B. P. Das, R. K. Chaudhuri, D. Mukherjee, Phys. Rev. A 74 (2006) 062504.",https://doi.org/10.1103/PhysRevA.74.062504,
