Z,Atom,A,B,Value,Uncertainty,Method,Year,Citation,Links,Notes
55,Cs,6p3/2,a2,-0.26,0.011,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,"Tensor"
55,Cs,7p3/2,a2,-4.408,0.05,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,"Tensor"
55,Cs,8p3/2,a2,-30.57,0.41,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,"Tensor"
55,Cs,9p3/2,a2,-134.7,1.7,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,"Tensor"
55,Cs,10p3/2,a2,-451.1,4.8,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,"Tensor"
55,Cs,11p3/2,a2,-1254,11,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,"Tensor"
55,Cs,12p3/2,a2,-3041,24,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,"Tensor"
55,Cs,5d3/2,a2,0.357,0.025,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,"Tensor"
55,Cs,6d3/2,a2,8.749,0.078,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,"Tensor"
55,Cs,7d3/2,a2,71.08,0.75,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,"Tensor"
55,Cs,8d3/2,a2,338.6,3.1,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,"Tensor"
55,Cs,9d3/2,a2,1190,8,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,"Tensor"
55,Cs,10d3/2,a2,3419,22,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,"Tensor"
55,Cs,11d3/2,a2,8511,54,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,"Tensor"
55,Cs,12d3/2,a2,18734,158,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,"Tensor"
55,Cs,5d5/2,a2,0.677,0.034,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,"Tensor"
55,Cs,6d5/2,a2,17.3,0.11,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,"Tensor"
55,Cs,7d5/2,a2,141.7,1.1,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,"Tensor"
55,Cs,8d5/2,a2,678.1,4.9,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,"Tensor"
55,Cs,9d5/2,a2,2388,14,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,"Tensor"
55,Cs,10d5/2,a2,6871,35,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,"Tensor"
55,Cs,11d5/2,a2,17111,69,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,"Tensor"
55,Cs,12d5/2,a2,38424,291,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016)",https://doi.org/10.1103/PhysRevA.94.012505,"Tensor"
55,Cs,6s1/2,,401.2,0.7,Expt,2015,"M. D. Gregoire, I. Hromada, W. F. Holmgren, R. Trubko, and A. D. Cronin, Phys. Rev. A 92, 052513 (2015)","https://journals.aps.org/pra/abstract/10.1103/PhysRevA.92.052513",
37,Rb,5s1/2,,320.1,0.6,Expt,2015,"M. D. Gregoire, I. Hromada, W. F. Holmgren, R. Trubko, and A. D. Cronin, Phys. Rev. A 92, 052513 (2015)","https://journals.aps.org/pra/abstract/10.1103/PhysRevA.92.052513",
19,K,4s1/2,,290.0,0.5,Expt,2015,"M. D. Gregoire, I. Hromada, W. F. Holmgren, R. Trubko, and A. D. Cronin, Phys. Rev. A 92, 052513 (2015)","https://journals.aps.org/pra/abstract/10.1103/PhysRevA.92.052513",
55/37,Cs/Rb,6s/5s,,1.2532,0.0010,Expt,2015,"M. D. Gregoire, I. Hromada, W. F. Holmgren, R. Trubko, and A. D. Cronin, Phys. Rev. A 92, 052513 (2015)","https://journals.aps.org/pra/abstract/10.1103/PhysRevA.92.052513",Ratio
55/19,Cs/K,6s/4s,,1.3834,0.0009,Expt,2015,"M. D. Gregoire, I. Hromada, W. F. Holmgren, R. Trubko, and A. D. Cronin, Phys. Rev. A 92, 052513 (2015)","https://journals.aps.org/pra/abstract/10.1103/PhysRevA.92.052513",Ratio
37/19,Rb/K,5s/4s,,1.1040,0.0009,Expt,2015,"M. D. Gregoire, I. Hromada, W. F. Holmgren, R. Trubko, and A. D. Cronin, Phys. Rev. A 92, 052513 (2015)","https://journals.aps.org/pra/abstract/10.1103/PhysRevA.92.052513",Ratio
